Feature,Coefficient,AbsCoeff
EZPass,767.3193869985051,767.3193869985051
Cash,314.9168673375866,314.9168673375866
Violations,180.95969907273457,180.95969907273457
Facility_Name_Outerbridge,32.66620205996146,32.66620205996146
Facility_Name_Lincoln,31.287048999516212,31.287048999516212
